nif,empresa,licitaciones_ganadas,importe_total,ultima_adjudicacion
B47647136,"CENTRO DE DIAGNÓSTICO RECOLETAS CASTILLA Y LEÓN, SLU",23,237211589,2026-04-30 00:00:00+00
A86779030,"Datos Media Technologies, SA",23,347830179,2026-04-30 00:00:00+00
B64161250,"Punt Informatic i Creatiu, S.L.",23,266252744,2026-04-21 00:00:00+00
B13443759,Proimancha Ingeniería y Construcción S.L.,23,651693158,2026-03-18 00:00:00+00
B06350748,ELECTROFIL OESTE DISTRIBUCIÓN SL,23,116397722,2025-10-22 00:00:00+00
B57634131,Grup Trui Mallorca s.l.,23,188590544,2025-02-25 00:00:00+00
B39272513,"Soemca Empleo, S.L.U.",23,3362976490,2025-02-24 00:00:00+00
A06136154,"ASFALTOS LOS SANTOS, SA",23,231621900,2025-02-24 00:00:00+00
B32155269,"Galmédica, S.L.",23,88204043,2025-02-21 00:00:00+00
B76675735,INTEDESER GLOBAL SL,23,263831814,2025-02-20 00:00:00+00
B38808143,PROYECTOS SIMEÓN GH. S.L.U.,23,500852403,2025-02-19 00:00:00+00
B38106100,SOTESA S.L.,23,19604039,2025-02-19 00:00:00+00
B86907110,"Keysight Technologies Sales Spain, S.L.U.",23,1445908442,2025-02-18 00:00:00+00
B42664516,"M.E.G.A. INGENIERÍA, CONSTRUCCIONES Y SEGURIDAD, S.L.P.U.",23,15125000,2025-02-18 00:00:00+00
B33340993,"UNION FERRETERA ASTUR, S.L.",23,8160330,2025-02-18 00:00:00+00
A08537300,"spec, s.a.u.",23,34719083,2025-02-14 00:00:00+00
B51027878,"ON 365 ENERGÍA, SL",23,510152993,2025-02-13 00:00:00+00
B06283790,Construcciones Majoin S.L.,23,1603251853,2025-02-13 00:00:00+00
A28368132,COFELY ESPAÑA SA,23,5413050705,2025-02-13 00:00:00+00
B97100002,"Formación Informática, Desarrollo y Comunicaciones S.L.",23,48703715,2025-02-11 00:00:00+00
A28526275,Aeronaval de Construcciones e Instalaciones S.A.,23,4220761545,2025-02-07 00:00:00+00
B27382175,"Alcor Seguridad, S.L.",23,391880489,2025-02-03 00:00:00+00
B31619596,"RADVI HORTALIZAS, S.L.",23,100284967,2025-01-29 00:00:00+00
B82054792,Foro de debate SL,23,417233363,2025-01-24 00:00:00+00
B87951232,SIGLO XXII LEGAL SL,23,70550200,2025-01-23 00:00:00+00
B73419269,"Eurovertice, S.L.",23,126760413,2025-01-22 00:00:00+00
B44129757,"PROMOCIONES ALTOGRA, S.L.",23,318100685,2025-01-21 00:00:00+00
A28556850,Empresa Española de Electrónica S.A.,23,31166310,2025-01-18 00:00:00+00
B98707094,RICARDO CERTIFICATION IBERIA SL,23,61485300,2025-01-17 00:00:00+00
B79449674,artesanos del cristal sl,23,49331878,2025-01-17 00:00:00+00
B38722898,JUAN JOSÉ FUENTES TABARES SLU,23,209616363,2025-01-16 00:00:00+00
B76806876,Ruymán Pérez Torres,23,5412910,2025-01-13 00:00:00+00
A61213989,"TRABLISA INTEGRATED SECURITY, S.A.",23,742171005,2025-01-09 00:00:00+00
A04337309,"Albaida Infraestructuras, S.A.",23,4809386609,2024-12-12 00:00:00+00
B42123265,Hijos de Angel Arribas SL,23,63554479,2024-11-12 00:00:00+00
A29076502,"SANITUBO, SAU",23,19908101,2024-11-11 00:00:00+00
A20072070,ESTACIONES DE SERVICIO GUIPUZCOA SA,23,192760456,2024-10-29 00:00:00+00
A28847895,"SACAI, S.A.",23,153138400,2024-10-25 00:00:00+00
A50047646,FERRETERIA ARIES SA,23,19317688,2024-08-01 00:00:00+00
A79475729,ILUNION LAVANDERÍAS SA,22,2047550002,2026-06-01 00:00:00+00
B25303611,"ARNO INFRAESTRUCTURAS, S.L.U.",22,792226684,2026-06-01 00:00:00+00
B13264791,SERVICIOS ASISTENCIALES A LA COMUNIDAD-ESPAÑA SL,22,140523363,2026-06-01 00:00:00+00
B74249160,"German Vizcaino, S.L.",22,184294304,2026-06-01 00:00:00+00
B41108861,"Transmisevilla, S.L.",22,28561100,2026-06-01 00:00:00+00
B85991917,"PALOMEQUE, S.L.",22,75730567,2026-06-01 00:00:00+00
B85771269,"CEMEX ESPAÑA OPERACIONES, SLU",22,152902716,2026-06-01 00:00:00+00
B81655607,"IGM, ingeniería y gestión medioambiental, s.l.",22,659559684,2026-06-01 00:00:00+00
B84710623,"Swedish Orphan Biovitrum, S.L. (SOBI)",22,570229979,2026-05-29 00:00:00+00
B84724632,Carl Zeiss Iberia S.L,22,303428624,2026-05-28 00:00:00+00
B38980611,"Insulares de demoliciones, s.l.",22,7725365,2026-05-28 00:00:00+00
A38363917,Biservicus Sistemas de Seguridad SAU,22,442618508,2026-05-28 00:00:00+00
A08002883,"Asea Brown Boveri, S.A.",22,200559293,2026-05-28 00:00:00+00
B02251593,"Copriser (Compañia privada para el desarrollo de los Servicios Públicos, S.L)",22,136094484,2026-05-28 00:00:00+00
B53836110,"ICISER, S.L.",22,113588573,2026-05-28 00:00:00+00
A33116062,"ITMA SOPORTE GLOBAL, SAL.",22,157179047,2026-05-27 00:00:00+00
B04204830,"FRUTAS HERMANOS LOPEZ SANCHEZ, S.L.",22,136899493,2026-05-27 00:00:00+00
B36533537,"Movimientos de Aridos y Construcciones de Arosa, S.L",22,790024912,2026-05-27 00:00:00+00
A39038963,"Sakura Productos Hospitalarios, S.L.",22,282929750,2026-05-27 00:00:00+00
A84523505,"INTEGRACIÓN AGENCIAS DE VIAJES, S.A.",22,1924047708,2026-05-27 00:00:00+00
B97527477,"Matclinic, S.L.",22,167499700,2026-05-26 00:00:00+00
A33009630,"TRATAMINENTOS ASFALTICOS, S.A.",22,355853374,2026-05-26 00:00:00+00
B76121078,REALAN SERVICES SL,22,354716996,2026-05-25 00:00:00+00
B47467055,"IMPERMEABILIZACIONES IMPALAG, S.L.",22,519231566,2026-05-25 00:00:00+00
B15730286,"SMG IBERIA, S.L.",22,72498629,2026-05-25 00:00:00+00
B14343586,"ENERPLUS,S.L.U",22,600530636,2026-05-22 00:00:00+00
B35325422,"JOSÉ PADILLA FRANCÉS, S.L.",22,46561077,2026-05-22 00:00:00+00
B44224129,"Memorándum Multimedia, S.L.",22,359814962,2026-05-22 00:00:00+00
B22047252,LASAOSA SLU,22,172390169,2026-05-20 00:00:00+00
B91183657,Habitat Servicios Medioambientales S.L.,22,327997824,2026-05-19 00:00:00+00
B40227928,"CARRION AREXNA, S.L.U.",22,165739133,2026-05-18 00:00:00+00
B99220915,Ballarol Oficinas S.L,22,51235594,2026-05-15 00:00:00+00
B53926606,"Nerco Infraestructuras, S.L.",22,589181057,2026-05-15 00:00:00+00
A28861326,"ALBIE, SA",22,1042368420,2026-05-11 00:00:00+00
B36147429,Construcciones E.C Casas SL,22,392225641,2026-05-08 00:00:00+00
B96035787,"MS INGENIEROS, SLU",22,682344080,2026-05-07 00:00:00+00
B73334039,"TECNODIESEL MURCIA, SL",22,123001338,2026-05-06 00:00:00+00
B49289119,SERINZA SOLUTIONS SL,22,54429485,2026-05-06 00:00:00+00
B53531638,"FRIO CORTES, S.L.",22,158232354,2026-05-04 00:00:00+00
A28799864,CREATIVIDAD Y TECNOLOGÍA S.A.,22,332550166,2026-04-24 00:00:00+00
B13032750,Tecnove SL,22,665891892,2026-04-21 00:00:00+00
A26026393,Productos y Mangueras Especiales,22,119435822,2026-03-19 00:00:00+00
B36684157,"Civis Global, S.L.U.",22,3079642055,2026-03-12 00:00:00+00
B35664879,"MHP Servicios de Control, S.L.",22,60474809,2026-03-12 00:00:00+00
B80406309,PETROCONTINENTAL SL,22,146117443,2026-02-19 00:00:00+00
B64550247,"Botiquin Sans, S.L.U",22,552253014,2026-01-09 00:00:00+00
B33603465,"PROYMA, SL",22,67700536,2025-12-17 00:00:00+00
B04931358,Relux Suministros para la Construcción,22,75784364,2025-10-31 00:00:00+00
A28406775,"Unipublic, SAU",22,317628100,2025-06-11 00:00:00+00
B91948802,"TEMAVECO, SL",22,125463333,2025-05-10 00:00:00+00
A78092376,"LANDECOLOR,S.A.",22,37299935,2025-02-24 00:00:00+00
B54727367,Lynx View S.L.,22,165674058,2025-02-21 00:00:00+00
B78100211,CMS ALBIÑANA Y SUAREZ DE LEZO SLP,22,22897101,2025-02-20 00:00:00+00
B44145522,"HORMIGONES LA PAZ, S.L.U.",22,360668601,2025-02-19 00:00:00+00
B96852876,obras y servicios sercyoval s.l.,22,416021381,2025-02-17 00:00:00+00
B28672764,"Xylem Water Solutions España, S.L.U.",22,206845855,2025-02-14 00:00:00+00
A08534638,"MENARINI DIAGNÓSTICOS, SA",22,238556118,2025-02-14 00:00:00+00
B14922264,"Clima Bética, S.L.",22,262079304,2025-02-13 00:00:00+00
B80065519,Asirec SL,22,69575395,2025-02-13 00:00:00+00
A23212707,"TUCCITANA DE CONTRATAS, SAU",22,349828242,2025-02-11 00:00:00+00
A29076122,"GRÁFICAS URANIA, S.A.",22,13470826,2025-02-10 00:00:00+00
B92932078,CONSTRUCCIONES FINDESA S.L,22,144191533,2025-02-06 00:00:00+00
A07662562,PATTERSON.TRAVEL,22,263438462,2025-02-06 00:00:00+00
B84947944,LOPEZ DE SANTIAGO CONSULTORES S. L.,22,73316600,2025-02-05 00:00:00+00
B28154334,"Honeywell, S.L.",22,707906512,2025-02-05 00:00:00+00
B67152173,CROUS EXPERT SL,22,60667227,2025-01-31 00:00:00+00
B87748539,Advantage Servicios y Diseños,22,121421841,2025-01-31 00:00:00+00
B14708945,Vithas Sanidad Málaga Internacional S.L.,22,275130952,2025-01-30 00:00:00+00
B81623407,Estilo Esturgraf impresores S.L:,22,26598005,2025-01-28 00:00:00+00
B35418672,FELIX SANTIAGO MELIAN SL.,22,1914280642,2025-01-21 00:00:00+00
B86931318,"ARENAS JIMÉNEZ, S.L.",22,343197672,2025-01-20 00:00:00+00
B06951750,"47 SEGUNDOS PRODUCCIONES, S.L.",22,39485646,2025-01-15 00:00:00+00
B85365195,"IBERDEFENSA MANTENIMIENTO TÉCNICO,S.L.",22,69177290,2025-01-13 00:00:00+00
B80029895,Tower Bridge SL,22,132234500,2025-01-13 00:00:00+00
A79197356,"GMV Aerospace and Defence, S.A.U.",22,2226988917,2025-01-08 00:00:00+00
B62749064,"ConMed Iberia, S.L.",22,48551399,2024-12-26 00:00:00+00
B96556980,SERVYTRONIX SL,22,72887033,2024-12-26 00:00:00+00
B37518198,"Viamar Autocares, S.L.U.",22,99533141,2024-12-19 00:00:00+00
A80106842,"QUAVITAE SERVICIOS ESENCIALES, S.A",22,352850979,2024-12-03 00:00:00+00
B93218287,SL,22,44537402,2024-11-29 00:00:00+00
B53257879,"DELFIN SERVICIO INTEGRAL, S.L.U.",22,9487828,2024-11-19 00:00:00+00
B02798502,"Chumillas & EAP Alimentacion Sana,S.L.U.",22,60206001,2024-08-30 00:00:00+00
B33568130,"Ecocomputer, S.L.",21,280765500,2026-06-02 00:00:00+00
B02365948,Señalización y Equipamientos para entornos naturales SL (PROARTE),21,163234828,2026-06-02 00:00:00+00
B13102009,Ingenieria De Gestion Industrial SL,21,95705131,2026-05-29 00:00:00+00
A28245231,"Burodecor, S.A.",21,87938280,2026-05-29 00:00:00+00
A92909068,"MAINJOBS INTERNACIONAL EDUCATIVA Y TECNOLÓGICA, SA",21,1812916654,2026-05-28 00:00:00+00
A59432179,GE Healthcare Bio-Sciences,21,1063961646,2026-05-28 00:00:00+00
B36654010,"ASCENDER,S.L.",21,164986374,2026-05-28 00:00:00+00
A28051597,Ullastres SA,21,1870710950,2026-05-28 00:00:00+00
A28570190,"ALAVA INGENIEROS, S.A.",21,196988622,2026-05-28 00:00:00+00
B25313685,"FRUITOLLE,S.L.",21,96961853,2026-05-27 00:00:00+00
B66460338,Peakway SL,21,52815828,2026-05-27 00:00:00+00
B92284835,"OFI-NET EUROPA, S.L.",21,35189787,2026-05-27 00:00:00+00
B27144328,"EXCAVACIONES SANTIÑOS, S.L.",21,223718940,2026-05-27 00:00:00+00
B29384781,"HERMNOS GALLEGO FERNANDEZ, S.L",21,133489845,2026-05-27 00:00:00+00
B41839523,"FONSAN GESTIÓN Y CONSTRUCCIÓN, S.L.",21,2528825406,2026-05-26 00:00:00+00
A10122943,CLINICA QUIRURGICA CACERÑA,21,226017830,2026-05-26 00:00:00+00
B21170188,"MAQUINARIAS J.A. CANO, S.L.",21,153831600,2026-05-25 00:00:00+00
B96949425,"ENETIC PROYECTOS, S.L.",21,188496525,2026-05-25 00:00:00+00
B53962569,"LORENZETTI, S.L.",21,295240957,2026-05-22 00:00:00+00
B06909501,"MERAKI CR, SL",21,349863604,2026-05-22 00:00:00+00
B47742143,NUEVOS TIEMPOS CONSULTORES SL,21,63556999,2026-05-20 00:00:00+00
B47291117,Monroy Sports S. L.,21,163337975,2026-05-19 00:00:00+00
B73938714,"ALPRINT SOLUCIONES GRAFICAS, SL",21,90012898,2026-05-15 00:00:00+00
B53761813,Araquest SL,21,51531156,2026-05-13 00:00:00+00
B04072252,"VALERO Y ALARCÓN, S.L.",21,93726242,2026-05-12 00:00:00+00
B54741905,Printer Brok 2010 SL,21,53142448,2026-05-11 00:00:00+00
B86275112,"Teknei Information Technology, S.L.",21,559746399,2026-05-06 00:00:00+00
A85765469,Vortal Connecting Business S.A.,21,29755476,2026-05-04 00:00:00+00
B57861122,"PAVIMENTOS ESPECIALES MALLORCA, S.L.",21,554097699,2026-04-30 00:00:00+00
B01159565,voestalpine Railway Systems JEZ S.L.,21,6297230931,2026-04-29 00:00:00+00
B02614659,"SERVICIOS PROFESIONALES DE ARQUITECTURA, CONSULTORIA E INGENIERIA, SLP",21,109190050,2026-03-20 00:00:00+00
B80461122,"Supeim, S.L.",21,82677133,2025-12-29 00:00:00+00
B71491443,"PULEN LIMPIEZA Y MANTENIMIENTO DE INFRAESTRUCTURAS, S.L.U.",21,106048533,2025-12-29 00:00:00+00
B96099015,"TOMÁS LLAVADOR ARQUITECTOS E INGENIEROS, S.L.",21,295893367,2025-11-13 00:00:00+00
B90011156,Parque Grazalema SL,21,108237590,2025-02-26 00:00:00+00
A61502332,"Dexiberica Soluciones Industriales, S.A.U.",21,119319468,2025-02-26 00:00:00+00
B88076740,"AGR Imagen Integral, S.L.",21,19731651,2025-02-21 00:00:00+00
B98588924,Llop Proyectos Integrales SL,21,2198458048,2025-02-21 00:00:00+00
B29627510,"MICROCAD INFORMATICA, S.L.",21,163519838,2025-02-20 00:00:00+00
A20001020,Construcciones y auxiliar de ferrocarriles SA,21,18916044651,2025-02-20 00:00:00+00
A08538829,FERRETERIA INDUSTRIAL MARTI S.A.,21,18542864,2025-02-20 00:00:00+00
B70487053,"APDTIC PROFESIONALES, S.L.",21,20328300,2025-02-19 00:00:00+00
A46217923,"COMERCIAL PROJAR, S.A.",21,61914302,2025-02-18 00:00:00+00
B33897513,Eteria marketing y comunicación S.L.,21,52099218,2025-02-18 00:00:00+00
B44147197,"CONTRATAS ANCAR, S.L.",21,224305361,2025-02-17 00:00:00+00
B67974576,"CALIXTO ESCARIZ, S.L.U.",21,60610235,2025-02-14 00:00:00+00
B35803683,"Camino Viejo Producciones, S.L.",21,145465972,2025-02-14 00:00:00+00
B87771499,"Terumo BCT España, S.L.U.",21,1070544460,2025-02-14 00:00:00+00
B30540652,"RETAMAR OBRAS, SERVICIOS Y MEDIO AMBIENTE, S.L.",21,287905044,2025-02-14 00:00:00+00
B97846703,"NOGUERA ABOGADOS Y ASESORES, SL",21,102170000,2025-02-10 00:00:00+00
A48203996,"Grafo, S.A.",21,15148890,2025-02-10 00:00:00+00
B29534443,"Uniformes costa del Sol, S.L.",21,36231332,2025-02-09 00:00:00+00
A43417328,"AMIBLU PIPES SPAIN, S.A.",21,2782367949,2025-02-06 00:00:00+00
B78311941,"SABORIT INTERNATIONAL, SL",21,121955437,2025-02-06 00:00:00+00
A26004960,BARPIMO SA,21,46803094,2025-02-05 00:00:00+00
B84382761,AEBIA TECNOLOGÍA Y SERVICIOS S.L.,21,800774200,2025-02-05 00:00:00+00
B09326000,"SERVITEC MEDIOAMBIENTE, S.L.",21,239636131,2025-02-03 00:00:00+00
A28793917,"Compusof,S.A.",21,673546307,2025-01-27 00:00:00+00
A62338827,"AUDAX RENOVABLES, S.A.",21,1594350054,2025-01-23 00:00:00+00
B86842267,EICO INGENIERÍA Y ECONOMÍA SL,21,820700229,2025-01-21 00:00:00+00
B50098771,"SUMINISTROS MERA, S.L.",21,32646293,2025-01-20 00:00:00+00
A62332580,"NEXUS ENERGÍA, S.A.",21,4354574164,2025-01-17 00:00:00+00
A28980910,Telefónica Ingeniería de Seguridad,21,2045397751,2025-01-17 00:00:00+00
A78623048,Proselec Seguridad S.A.U.,21,299744883,2024-12-27 00:00:00+00
B14597926,"ALMACENES MOYANO, S.L.",21,47051463,2024-12-27 00:00:00+00
B05225131,"VIARIUM INGENIERIA, S.L.",21,1508160671,2024-12-27 00:00:00+00
A15146608,"NEMESIO ORDOÑEZ, S.A.",21,159030379,2024-12-23 00:00:00+00
A28270122,"OFICINA TÉCNICA DE PROYECTOS Y CONTROL DE OBRAS, S.A.",21,882159833,2024-12-19 00:00:00+00
B97754915,"UNIMAT PREVENCIÓN, SL",21,36507440,2024-12-19 00:00:00+00
B98685480,ESTUDIO HYO COMUNICACIÓN GLOBAL S.L.,21,12717761,2024-12-16 00:00:00+00
A80592462,"HOCENSA EMPRESA CONSTRUCTORA, S.A.",21,581774223,2024-12-11 00:00:00+00
